probIn scale
0.4157343 0.05286312
0.4702626 0.05467821
0.4867413 0.0527216
0.4815653 0.05364559
0.4773495 0.04924522
0.4232195 0.0498408
0.4097177 0.05078055
0.4320664 0.05758655
0.3484777 0.05860197
0.3234623 0.05798672
0.285599 0.05442689
0.3355995 0.05641663
0.2861894 0.05761022
0.2444827 0.05714796
0.2736379 0.0565111
0.3571767 0.05331452
0.3535201 0.05340218
0.4142627 0.05521839
0.3830579 0.0519254
0.4515768 0.04546722
0.4512379 0.04586563
0.5569962 0.04493597
0.5575708 0.04687635
0.5992936 0.04615051
0.5831289 0.04484998
0.5786943 0.04792755
0.5204847 0.05244949
0.4525599 0.05560665
0.4014029 0.06015017
0.3224067 0.06586349
0.3243532 0.06792487
0.2853536 0.06687444
0.3671658 0.06524224
0.3967375 0.07157966
0.4202689 0.06769005
0.4494663 0.06730091
0.4471845 0.06163851
0.3852226 0.06328838
0.348611 0.06751034
0.3587952 0.06658198
0.285795 0.06749342
0.2475821 0.06704026
0.3006587 0.0621567
0.3304234 0.06525388
0.2976949 0.06216036
0.2262208 0.06563485
0.2204911 0.06616424
0.2454317 0.06401124
0.2700612 0.06162199
0.2351849 0.06068211
0.2645688 0.06095126
0.2489627 0.05856521
0.3029484 0.05869923
0.3320506 0.05478728
0.3543731 0.05313328
0.4098601 0.05421224
0.3774323 0.05346618
0.400741 0.05811484
0.4583636 0.05622454
0.4674399 0.05600621
0.4417509 0.0522128
0.4186921 0.05112544
0.3963798 0.0470254
0.427697 0.04529604
0.4240664 0.04444337
0.4481337 0.04113237
0.3725566 0.03904746
0.3866637 0.04011849
0.4061643 0.04268096
0.4064396 0.04245197
0.4976497 0.04350859
0.4937846 0.0420168
0.5548961 0.04469704
0.553484 0.04479607
0.5899473 0.04207924
0.5631891 0.04260312
0.5600876 0.04195225
0.5325026 0.04633122
0.5333124 0.04918751
0.567163 0.04796487
0.5385277 0.04539251
0.506544 0.04312396
0.4202821 0.04131106
0.412789 0.04513377
0.4531523 0.04220454
0.5056251 0.04312627
0.5321188 0.04513824
0.5255701 0.04003494
0.4027991 0.03931077
0.4257951 0.04003602
0.3784822 0.04283605
0.3237933 0.04258199
0.379336 0.04324236
0.3298648 0.04562857
0.4022088 0.04220394
0.4414428 0.04606833
0.4520837 0.04921798
0.4419907 0.05020924
0.4600051 0.04888007
0.465458 0.0506629
0.3821177 0.05067552
0.4373088 0.05680944
0.476471 0.05761495
0.4940716 0.05919135
0.494969 0.05830237
0.4415229 0.057083
0.3935334 0.05821351
0.3890599 0.06040421
0.3834234 0.05575653
0.3968984 0.05448147
0.4631267 0.05322498
0.4036449 0.05346251
0.3954034 0.05572031
0.3486785 0.05160877
0.4047516 0.05527657
0.512211 0.05616589
0.486222 0.05748992
0.5840491 0.05535062
0.4876234 0.05686975
0.5176655 0.06000949
0.5278815 0.06026969
0.5257984 0.05696713
0.5725693 0.05299671
0.5385542 0.05326571
0.5099193 0.05797752
0.5251403 0.05493114
0.4891772 0.05402631
0.5130392 0.05086382
0.4971149 0.05199216
