GAH1_2022 GAH1_2023 IAH1_2022 IAH1_2023 IAH2_2022 IAH2_2023 ILH1_2022 ILH1_2023 INH1_2022 INH1_2023 MNH1_2022 MNH1_2023 MOH1_2023 MOH2_2022 MOH2_2023
-3.936227 -1.829626 2.385401 3.544641 0.6592522 1.143159 2.392815 1.952111 2.94323 3.629095 2.689069 2.362455 -0.6062309 -2.338796 0.40943
-4.008817 -1.571606 2.453781 3.694681 0.8131814 0.9486387 2.471311 2.000035 2.829547 4.077319 2.907263 2.506046 -0.5078504 -2.534529 0.6044739
-3.975258 -1.72921 2.34798 3.846403 0.7188445 1.26978 2.630612 2.219181 2.861928 3.979661 3.137353 2.481104 -0.3678214 -2.341185 0.6137342
-3.80933 -1.906033 2.379607 3.591531 0.651769 1.13189 2.45292 2.148396 2.768661 3.823264 2.768777 2.332039 -0.1580987 -2.308242 0.7315218
-3.986372 -1.880278 1.942411 3.425527 0.6580008 1.057022 2.600649 1.754451 2.870717 3.903939 3.044464 2.458542 -0.4996283 -2.401736 0.5162348
-4.1159 -1.697993 2.289233 3.476536 0.6621745 0.9514739 2.439439 1.937483 3.023861 3.867496 2.921584 2.433776 -0.5885944 -2.411455 0.4642672
-3.684237 -1.867213 2.564869 3.601357 0.889626 1.390984 2.73059 2.192184 3.140208 3.911248 3.128044 2.406422 -0.3885524 -2.433567 0.6875303
-3.934565 -1.982104 2.488148 3.71473 0.9469551 1.358456 2.518289 2.173611 3.023889 3.837213 3.120229 2.57803 -0.2641234 -2.305968 0.8222391
-3.799137 -1.462391 2.489605 3.83628 0.8939778 1.253135 2.781153 2.388993 3.17035 4.22978 3.104967 2.532472 -0.1285337 -2.223831 0.7692198
-3.870334 -1.587827 2.717533 4.040282 1.012025 1.365032 2.426608 2.174531 3.09192 4.076793 3.144126 2.603685 -0.1738455 -2.328256 0.8893623
-3.930957 -1.731422 2.640984 3.656057 1.006562 1.508904 2.665217 2.209953 3.297955 4.162623 3.162026 2.526148 -0.2820668 -2.20015 0.771304
-3.995383 -1.455793 2.282702 3.614863 0.9014193 1.113064 2.84535 2.192433 3.110762 4.142687 2.803641 2.623022 -0.3727215 -2.256226 0.7482216
-4.035908 -1.852251 2.42269 3.91755 0.9055464 1.347958 2.403348 2.004497 3.257108 4.138532 2.903831 2.604391 -0.3061154 -2.547407 0.6505504
-3.972812 -1.98249 2.327434 3.673012 0.6665082 1.390257 2.517437 1.967884 2.953146 3.689585 2.901835 2.209893 -0.5682295 -2.528772 0.6749756
