GAH1_2022 GAH1_2023 IAH1_2022 IAH1_2023 IAH2_2022 IAH2_2023 ILH1_2022 ILH1_2023 INH1_2022 INH1_2023 MNH1_2022 MNH1_2023 MOH1_2023 MOH2_2022 MOH2_2023
-5.169495 -2.778154 1.265684 2.623248 -0.3183466 -0.006485356 1.568928 1.129468 1.943334 2.993674 1.857131 1.575193 -1.532146 -3.331244 -0.4914365
-5.234629 -3.137646 1.076686 2.511533 -0.415833 -0.20836 1.443362 0.8310939 1.831627 2.59829 1.585342 1.180688 -1.908466 -3.845374 -0.5437215
-5.258961 -2.844166 1.297688 2.273017 -0.4061461 0.01154673 1.378724 0.8837982 1.801933 2.904833 1.729809 1.309963 -1.748703 -3.541158 -0.5769807
-5.225126 -2.624423 1.407999 2.50721 -0.3333368 0.3685273 1.466115 1.355247 1.930596 3.024668 2.112724 1.41052 -1.332252 -3.309043 -0.2527702
-4.96364 -2.7682 1.27682 2.426085 -0.3859804 0.09340925 1.544786 0.8021617 2.025923 3.049883 1.786709 1.474418 -1.619808 -3.626545 -0.2193682
-5.122947 -2.83085 1.194162 2.581218 -0.3101048 0.2464742 1.349731 0.9454971 1.840725 2.957721 1.800912 1.409949 -1.539402 -3.609464 -0.3796079
-4.992814 -2.74261 1.343883 2.539604 -0.2625047 -0.004025401 1.475365 1.048014 2.165678 2.772741 1.902444 1.580845 -1.778257 -3.562351 -0.4507622
-4.736778 -2.641505 1.573949 2.709176 -0.08548821 0.2457453 1.723344 1.279914 2.168619 3.226174 2.245946 1.371567 -1.454939 -3.211844 -0.3199539
-4.627961 -2.526878 1.597712 2.900567 0.1601855 0.7848572 1.879078 1.354011 2.445041 3.314139 2.262492 1.682659 -1.288935 -3.007241 -0.03023238
-4.679989 -2.320363 1.872394 2.908466 0.233819 0.671387 2.004103 1.330342 2.330539 3.351948 2.327546 1.86914 -0.9518972 -3.032367 0.222727
-4.387304 -2.336608 1.867 2.942445 0.2456495 0.4500209 1.934999 1.284565 2.389987 3.183161 2.201613 1.849204 -0.9020045 -3.291208 0.08392522
-4.713342 -2.402358 1.756762 3.19513 0.2116394 0.4744117 1.981341 1.480855 2.459718 3.413883 2.407763 1.775811 -0.9846095 -3.085522 0.2397189
-4.294113 -2.112214 2.053953 3.002518 0.3548245 0.51549 1.938061 1.682352 2.719529 3.446859 2.18596 1.897538 -1.176458 -2.904212 0.05560222
-4.008006 -2.264933 2.19036 3.471531 0.4863084 0.9780956 2.218642 1.781038 2.795055 3.666791 2.629416 2.165262 -0.5778114 -2.808698 0.1927043
-3.882176 -1.819929 2.392863 3.589744 0.7435146 1.060738 2.461229 1.937019 3.173429 4.079964 3.040591 2.548212 -0.4153702 -2.340031 0.669726
-3.8233 -1.523186 2.333436 3.698402 0.6901323 1.450603 2.638306 2.074963 3.203445 4.11778 3.060759 2.671862 -0.4289358 -2.282434 0.6751742
-4.113569 -1.939887 2.346486 3.607358 0.6250753 1.141117 2.542945 2.18649 3.155617 3.882642 3.009977 2.325218 -0.5568772 -2.28222 0.8302633
-3.941115 -2.079796 2.316548 3.519885 0.7200756 1.154995 2.46654 1.906951 2.903704 4.004771 2.884485 2.454543 -0.560101 -2.497735 0.6525894
-3.899195 -1.650194 2.476163 3.599081 0.6712027 1.119693 2.590697 2.035555 3.000649 4.043559 2.685666 2.40303 -0.2041228 -2.476637 0.7464481
-3.845945 -1.572579 2.596157 3.756473 0.9494678 1.220536 2.549596 1.884984 2.985151 4.024624 2.891419 2.481814 -0.273612 -2.346933 0.6066654
-3.857227 -1.883931 2.420126 3.744565 1.091182 1.41548 2.499043 2.210896 3.119994 4.322455 3.146272 2.607988 -0.1816131 -2.173939 1.102383
-3.86893 -1.669653 2.743061 3.827049 0.8180996 1.424666 2.689058 2.398382 3.15556 4.102678 2.982346 2.399689 -0.4199816 -2.288586 0.6924655
-3.745373 -1.464525 2.870426 3.902764 1.135266 1.390725 3.012279 2.385939 3.1961 4.244583 3.363578 2.689661 -0.01217134 -2.025627 1.019314
-3.646142 -1.3043 2.700193 4.055959 1.179876 1.705001 3.012765 2.537177 3.222427 4.20656 3.330933 2.848632 -0.2897606 -2.144023 1.084487
-3.705112 -1.585499 2.333984 3.651421 0.9934407 1.599788 2.725686 1.911729 3.234396 4.064191 2.922898 2.42237 -0.4944232 -2.202882 0.6003042
-3.714978 -1.758566 2.606723 3.41766 0.8207869 1.369996 2.636799 2.028915 3.244133 4.073305 3.054775 2.577944 -0.4632279 -2.191055 0.711412
-4.122744 -1.423537 2.420197 3.576376 0.7827717 1.189103 2.619861 2.064994 3.05473 3.64394 3.039156 2.533496 -0.1600834 -2.324312 0.6209721
-3.753164 -1.757819 2.591395 3.908724 0.8957746 1.370689 2.672864 2.116826 3.275473 4.280743 3.210693 2.514949 -0.1850113 -2.194192 0.7845688
-3.674119 -1.655648 2.674774 3.613322 0.8382666 1.26875 2.592215 2.371745 3.153558 3.817268 3.17514 2.696509 -0.1742137 -1.928573 0.8444495
-3.849109 -1.741425 2.727991 3.713085 0.8595519 1.227903 2.634658 2.077808 3.189576 3.996057 3.047356 2.49572 -0.4596138 -2.448022 0.7360829
-3.861404 -1.736927 2.242265 3.452488 0.5892188 1.204473 2.251603 1.992141 2.994006 3.755938 2.857183 2.343956 -0.3335559 -2.363851 0.512751
-3.92947 -1.779808 2.694964 3.885426 0.9096896 1.345056 2.66889 2.278438 3.256546 4.282544 2.917989 2.644677 -0.373487 -2.160954 0.75866
-3.765784 -1.415699 2.295794 3.753791 0.9361418 1.248312 2.410988 2.357832 3.197685 3.99207 2.922271 2.455263 -0.5961321 -2.163488 0.9226106
-3.616236 -1.339985 2.465419 3.583778 0.8641799 1.222035 2.611989 2.267186 3.032174 3.862758 3.017641 2.340422 -0.5273043 -2.440206 0.7425487
-3.958889 -1.563075 2.434241 3.646581 1.020598 1.364695 2.62684 2.563501 3.278851 4.273484 3.125294 2.432866 0.02223468 -2.121274 0.9141754
-3.616433 -1.344353 2.747209 3.848578 1.10697 1.572249 2.761286 2.480643 3.323332 4.459617 3.094051 2.974357 -0.2697039 -2.215988 0.8826851
-3.692819 -1.643071 2.776028 4.221574 1.247189 1.570812 3.096498 2.197923 3.415779 4.384767 3.254068 2.760645 -0.08125441 -2.086537 1.237146
-3.436324 -1.309409 2.89059 4.097811 1.387142 1.668903 2.92159 2.402892 3.372393 4.523969 3.266061 3.096154 0.1782231 -1.89126 1.436373
-3.262612 -1.227515 2.927643 4.438076 1.521302 2.151053 3.176888 2.801525 3.693118 4.500363 3.6936 3.188272 0.3976212 -2.044286 1.576141
-3.469029 -1.24109 2.71061 3.996698 1.235589 1.782674 3.060867 2.563191 3.414836 4.574167 3.519046 2.892874 -0.01387958 -1.763574 1.338681
-3.71525 -1.508876 2.636565 3.863552 1.096494 1.684441 2.965608 2.318097 3.530657 4.283252 3.385205 2.810713 0.05179207 -2.048428 0.9210432
-3.639679 -1.631864 2.56623 3.86071 1.105197 1.433208 2.77918 2.10335 3.249739 4.229967 3.180231 2.772676 -0.2153512 -2.235064 1.176147
-3.805313 -1.563936 2.539437 3.843979 0.8684109 1.500275 2.603972 2.374202 3.061672 4.055387 3.06162 2.617339 -0.1158911 -2.098016 0.7530916
-3.470921 -1.447468 2.779628 3.763379 1.139937 1.67602 2.852323 2.400405 3.459781 4.35323 3.111435 2.903874 0.03364346 -2.071232 1.044054
-3.408301 -1.352215 2.829043 4.140043 1.20426 1.668277 3.000719 2.453124 3.37811 4.556169 3.433534 2.88902 -0.00242738 -1.861107 1.082612
-3.258892 -0.9022072 3.009971 4.166 1.364904 1.706014 3.188806 2.719682 3.655915 4.47437 3.609232 3.051701 0.1044834 -1.81984 1.365977
-2.823269 -1.0837 3.338336 4.72725 1.63812 2.051707 3.448148 3.159188 4.078699 5.087135 4.137185 3.586644 0.4060018 -1.529218 1.51561
-2.917662 -0.5897511 3.423069 4.660576 1.720116 2.160963 3.674313 3.203616 3.915125 5.136418 3.796207 3.378273 0.7279352 -1.390362 1.795698
-2.838544 -0.7964784 3.431355 4.672052 1.553764 2.20243 3.839965 2.940416 4.003147 5.124457 3.878188 3.29809 0.6047215 -1.488117 1.73691
-2.979741 -0.7803188 3.53605 4.633002 1.708993 2.304854 3.53136 3.273552 4.03333 4.801879 3.898181 3.471792 0.6254497 -1.328631 1.355033
-2.638737 -0.497079 3.584276 4.839126 2.010662 2.263359 3.630231 3.321944 4.132141 5.033467 4.22499 3.702685 0.695479 -1.175285 2.019464
-2.735649 -0.520185 3.588208 4.80326 2.130835 2.61282 3.696436 3.036302 4.296658 5.259719 4.202344 3.800161 0.8318068 -1.058387 1.906821
-2.664535 -0.489347 3.59985 4.796045 2.15466 2.48295 3.792623 3.276555 4.251514 5.288856 4.493619 3.832904 0.8343131 -1.077548 1.886541
-2.753187 -0.5011195 3.731064 4.870375 1.954742 2.330015 3.874606 3.096226 4.267234 5.112509 4.09265 3.514165 0.8605273 -1.126253 1.65983
-2.263931 0.1163074 4.091931 5.361136 2.439348 2.834075 4.001273 3.515597 4.647403 5.363822 4.53056 4.000382 1.019933 -0.852195 2.242951
-2.066895 0.07349287 4.08591 5.357627 2.580576 2.957146 4.18919 3.727857 4.755341 5.654482 4.608079 4.303877 1.376314 -0.5187159 2.498968
-2.425361 -0.0892064 4.041702 5.05327 2.175033 2.748907 4.013273 3.700124 4.507626 5.51617 4.604139 3.946724 1.050994 -0.7882743 2.083431
-2.426299 -0.3145106 3.944729 5.053603 2.393405 2.539528 4.078236 3.297026 4.560446 5.467214 4.641392 4.041416 1.12901 -0.8883413 2.184766
-2.413812 -0.147556 4.029469 5.265743 2.434234 2.665312 3.981622 3.35711 4.401795 5.533249 4.607409 3.945022 1.14263 -0.9571834 2.151455
-2.293137 -0.163532 3.784389 4.874272 2.340907 2.875801 4.222193 3.53394 4.560248 5.384401 4.542658 3.657387 0.9591441 -1.055602 1.999272
