probIn scale
0.3782907 0.05162464
0.4021633 0.05143123
0.4660056 0.0488505
0.4173644 0.04200488
0.4661724 0.04305074
0.4504862 0.04270445
0.5091856 0.04056403
0.4943541 0.04343534
0.5033599 0.04351255
0.4981713 0.04410273
0.452118 0.04388777
0.4281844 0.04047531
0.5244181 0.04488444
0.4897033 0.04526835
0.504279 0.04354285
0.4991939 0.04082627
0.3983938 0.04438866
0.4731919 0.04534632
0.4584365 0.04214723
0.5132428 0.04194498
0.4713202 0.04079523
0.4738156 0.03733958
0.418653 0.04357135
0.3700114 0.045057
0.3713758 0.05305107
0.4112319 0.05277982
0.4679291 0.05410789
0.5157225 0.04942386
0.4372166 0.05088736
0.3817826 0.05019957
0.359558 0.04683177
0.3494083 0.04648618
0.3208589 0.04631008
0.4436687 0.04376627
0.5242647 0.04797347
0.5286073 0.04508493
0.5333396 0.0439756
0.574814 0.04234252
0.5289722 0.03540991
0.6350436 0.03645725
0.5391745 0.03648002
0.4172439 0.03674214
0.4169283 0.03668746
0.4379609 0.03624886
0.5090479 0.03609412
0.5045758 0.03971042
0.5877965 0.03863179
0.589259 0.03713757
0.6619941 0.03472015
0.5956194 0.03781296
0.6281056 0.03766195
0.6537975 0.03785597
0.7018425 0.03441113
0.6358726 0.03251169
0.5782643 0.03308734
0.5401431 0.03758732
0.4563971 0.03935378
0.5219618 0.04060781
0.5187596 0.03659826
0.477159 0.03670707
0.4301676 0.03410976
0.5029985 0.03834307
0.4273163 0.0365304
0.415297 0.03979034
0.3950587 0.03817197
0.3650367 0.03299291
0.3402154 0.03536803
0.394123 0.03374894
0.4040531 0.03207894
0.3861219 0.03218656
0.4285346 0.03007138
0.4848389 0.02861348
0.4597108 0.02781693
0.4727785 0.02999322
0.5126889 0.03007229
0.569141 0.02785667
0.5941077 0.02957787
0.6042537 0.02964994
0.6056499 0.02657409
0.6075741 0.02612712
0.5677277 0.02898053
0.5541946 0.02987373
0.5613417 0.02791307
0.5155061 0.02674279
0.5041249 0.02630469
0.5786431 0.02684357
0.5692561 0.02737873
0.5975769 0.02890053
0.6503109 0.02980142
0.6424122 0.02937063
0.6575596 0.03119678
0.626201 0.02961039
0.6184928 0.02867266
0.6008371 0.02792963
0.5560694 0.02855037
0.6263004 0.0301721
0.6542855 0.03062583
0.656191 0.03278489
0.6324706 0.03163084
0.6445222 0.03123676
0.6374261 0.03043208
0.6480074 0.03321959
0.5908527 0.03370298
0.5445546 0.03432811
0.5482551 0.03467635
0.5820235 0.03520801
0.5878235 0.03363303
0.6329941 0.03546171
0.7394051 0.03150736
0.6821162 0.0318671
0.6328347 0.03267259
0.5887599 0.03208336
0.594594 0.03432684
0.605626 0.03582624
0.5215977 0.03737924
0.5413405 0.0367939
0.4921024 0.03811271
0.562491 0.03917337
0.5377853 0.03928813
0.5155414 0.04007379
0.5601743 0.04017067
0.4909589 0.0381135
0.5005008 0.03981117
0.4352459 0.03731268
0.4346378 0.03913837
0.4008328 0.03898622
0.3912218 0.03907516
0.3801104 0.04086774
0.3612867 0.04016394
0.3783191 0.04030257
0.4185276 0.04433849
0.4281349 0.04079015
0.443082 0.04569257
0.4452491 0.0458151
0.3997908 0.04530805
0.3476662 0.04096588
0.3290256 0.04071849
0.3709469 0.03988252
0.4285598 0.03846711
0.4525872 0.04097414
0.5387736 0.04597248
0.5815737 0.04609224
0.5226255 0.04781573
0.472774 0.05255833
0.477363 0.05165494
0.4857193 0.05469108
0.4753708 0.05559093
0.4881756 0.05635076
0.4693335 0.05370141
0.4606445 0.05194491
0.4390671 0.05320909
0.4570537 0.04938066
0.412077 0.04781597
0.3992125 0.0500602
0.4015772 0.05382358
0.5135465 0.0477771
0.4193461 0.04942682
0.3351262 0.0508147
0.2900999 0.0529401
0.3330581 0.0516098
0.3054289 0.0512611
0.3704002 0.05321791
0.3219482 0.05674244
0.2328638 0.05709378
0.2916429 0.05616646
0.2857685 0.05516496
0.2653715 0.05750052
0.2680357 0.05712824
0.2448784 0.06156514
0.2487515 0.06761524
0.2689696 0.07171358
0.2356596 0.07853923
0.2465348 0.08019893
0.3264654 0.08245563
0.3115144 0.08646278
0.3807453 0.07998501
0.3566833 0.07351797
0.3484107 0.07626344
0.3381338 0.07084548
0.3369974 0.07025417
0.3566382 0.07057707
0.4150665 0.06471701
0.433139 0.06019718
0.4633341 0.05242593
0.4273208 0.04939135
0.4037084 0.05370159
0.379912 0.05401614
0.3729395 0.06049807
0.2904529 0.06521867
0.3350205 0.06726696
0.2359201 0.06646977
0.2263018 0.06663486
0.285546 0.06907915
0.2769506 0.0643286
0.3151667 0.06506091
0.2993995 0.06843311
0.3488145 0.06860049
0.4236962 0.06651081
0.4108413 0.06333785
0.4021891 0.06402764
0.3812892 0.06111433
0.4761351 0.06096309
0.5148719 0.05893089
0.5466724 0.06042729
0.4527372 0.06295108
0.4633145 0.06097719
0.4730069 0.05414279
0.4373136 0.0499699
0.3958951 0.05063119
0.4212446 0.05437996
0.4014628 0.05435742
0.4010146 0.05828042
0.3656505 0.06008939
0.3546562 0.05605719
0.3724936 0.05760572
0.4210705 0.05325746
0.3971329 0.05135423
0.3220864 0.05132265
0.3923037 0.05266392
0.3819985 0.04882855
0.4263342 0.05228155
0.430043 0.05135879
0.3932089 0.05144273
0.3699456 0.05044364
0.4121177 0.05391651
0.3543083 0.04982857
0.3114779 0.05017781
0.2919711 0.05138091
0.3337756 0.0530969
0.3871633 0.05699078
0.3582854 0.05671879
0.3204257 0.05659822
0.3502548 0.0531413
0.2395593 0.05775248
0.2401522 0.06057339
0.2737288 0.06676854
0.2930856 0.0627757
0.2909524 0.06462027
0.3198207 0.06874464
0.2681062 0.07760183
0.2621089 0.07748278
0.2397503 0.0881565
0.2514337 0.09500808
0.2040213 0.1006448
0.2548672 0.1073974
0.2029502 0.1008935
0.235467 0.1069677
0.2312894 0.105013
0.2489683 0.1012039
0.2259496 0.100284
0.1672454 0.1034171
0.1559408 0.09468571
0.1998284 0.09410568
0.2373572 0.09860629
0.217981 0.09692861
0.3045271 0.1010357
0.3046546 0.09551259
0.3215248 0.09641448
0.2900186 0.09824528
0.2982989 0.09209272
0.3614523 0.08469072
0.3558474 0.08592804
0.3688327 0.08061445
0.3556114 0.08104017
0.3284794 0.07766235
0.3546479 0.07532235
0.3830863 0.07549586
0.3969424 0.08381817
0.4294072 0.0744089
0.4453802 0.06671624
0.4207953 0.0703116
0.4459018 0.07145934
0.4463931 0.07033003
0.4044929 0.07365137
0.3056595 0.07701693
0.2851453 0.0775298
0.3792545 0.07414009
0.323609 0.08019972
0.292453 0.06994015
0.2649675 0.0726513
0.2528773 0.07562926
0.2428805 0.07642288
0.1973036 0.07254618
0.2390935 0.07355994
0.2648631 0.0749557
0.2893083 0.07090071
0.3092973 0.0713096
0.2850629 0.07082125
0.2384881 0.07652205
0.2538155 0.07424679
0.2535303 0.07318253
0.264335 0.07391236
0.2395229 0.06899888
0.237745 0.06892227
0.2541069 0.07486187
0.2574338 0.08641035
0.3172642 0.08031608
0.4188139 0.07787956
0.4212858 0.07446227
0.351999 0.0803953
0.3901421 0.07744939
0.3423469 0.07951485
0.2838547 0.08548241
0.2687596 0.0819791
0.2844652 0.08185455
0.2474575 0.07991741
0.2899334 0.08576503
0.2516958 0.08245879
0.2883832 0.07960977
0.2879396 0.07920736
0.3809909 0.07851663
0.3271779 0.07587282
0.2917571 0.07553491
0.3073809 0.07263234
0.3263288 0.06497224
0.3037867 0.06796364
0.3098723 0.06715009
0.2843339 0.06847831
